age,country,player_id,team_id,player_name,team,position,R1,R2,R3,R4,R5,R6,appearance,Total
26,England,58791,6,Ryan Mason,Tottenham Hotspur,Midfielder,0.7735481856,0.9833605553,1.839,0.0,0.1392,1.1204856173,988,34
27,Norway,43626,21,Håvard Nordtveit,West Ham United,Midfielder,0.5514769192,1.0793566497,0.2,1.039,0.8352,1.561582833,1041,34
24,Ghana,86417,13,Jeffrey Schlupp,Leicester City,Midfielder,0.7256840061,1.1420590131,0.0,0.0,0.5568,1.8976951747,1147,34
24,England,149484,91,Tyrone Mings,Bournemouth,Defender,0.2607252565,0.6375727983,2.678,0.0,0.91872,1.5136579118,545,34
27,Republic of Ireland,50472,11,James McCarthy,Everton,Midfielder,0.5234629335,0.9062068966,1.639,1.039,0.2784,1.0187876995,657,33
24,Belgium,94245,8,Michy Batshuayi,Chelsea,Forward,0.123720237,0.7295918367,4.117,1.039,0.75168,0.0679981511,325,33
32,Algeria,44302,57,Adlène Guédioura,Watford,Midfielder,1.019221052,0.9626487923,0.8,1.039,0.2784,0.7803255235,942,33
21,Nigeria,173514,57,Isaac Success,Watford,Forward,0.5738543823,0.7103296258,2.439,1.039,0.33408,0.8193661576,652,33
35,England,15114,80,Leon Britton,Swansea City,Midfielder,0.3922265006,1.1671334725,0.0,0.0,0.8352,1.4820283657,1118,33
20,England,172850,13,Ben Chilwell,Leicester City,Defender,0.3393678856,0.8189448441,1.439,0.0,1.83744,1.0799361176,683,33
27,France,40784,14,Mamadou Sakho,Liverpool,Defender,0.4823508762,0.7055039133,0.0,0.0,2.75616,1.2967619473,733,33
25,Egypt,153256,3,Mohamed Elneny,Arsenal,Midfielder,0.6104417159,1.2594068511,0.4,1.039,0.696,0.5426657351,747,33
28,Wales,47390,80,Neil Taylor,Swansea City,Defender,0.4591069057,1.0272444875,0.0,0.0,0.91872,1.4782436566,984,32
24,England,91972,35,Saido Berahino,West Bromwich Albion,Forward,0.3325652059,1.1034846723,1.8,0.0,0.50112,0.3340289152,1014,32
-1,Unknown,41321,13,Yohan Benalouane,Leicester City,Defender,0.2901914252,1.0947242206,0.2,0.0,0.0,2.1039027569,913,32
23,Scotland,160816,56,Donald Love,Sunderland,Defender,0.4946497247,0.416721829,0.2,1.039,1.83744,2.0118108744,682,32
29,Côte d'Ivoire,57001,43,Wilfried Bony,Manchester City,Forward,0.6680365669,0.7548879837,3.078,0.0,0.25056,0.363783563,706,32
-1,Unknown,80146,80,Jordan Ayew,Swansea City,Striker,0.6014647219,0.8873555024,1.0,3.117,0.0,0.3055661034,850,31
-1,Unknown,109528,56,Javier Manquillo,Sunderland,Defender,0.5605114954,0.8878252457,0.0,0.0,0.0,2.0719766854,1453,31
-1,Unknown,15144,88,David Marshall,Hull City,Goalkeeper,0.2326707188,1.4392098816,1.239,0.0,0.0,0.0201147118,1446,31
23,England,115854,56,Duncan Watmore,Sunderland,Forward,0.9506198809,0.6568562554,0.8,2.078,0.08352,0.7393180138,1075,31
27,Spain,40276,110,Bojan,Stoke City,Forward,0.4312080875,0.5463849287,3.917,0.0,0.16704,0.3745669117,511,31
-1,Unknown,163526,21,Edimilson Fernandes,West Ham United,Midfielder,0.54032107,1.1270515641,0.6,0.0,0.0,1.1032105192,1087,31
33,USA,41705,25,Brad Guzan,Middlesbrough,Goalkeeper,0.1807055038,0.6186462324,0.0,0.0,4.25952,0.0422631952,865,30
30,Brazil,52538,43,Fernando,Manchester City,Midfielder,0.4165250604,1.1428607775,0.0,0.0,0.2784,0.9231940502,651,30
25,Austria,97485,6,Kevin Wimmer,Tottenham Hotspur,Defender,0.1928133011,0.7977717156,1.239,0.0,1.83744,0.4642527356,377,30
34,Sweden,39253,35,Jonas Olsson,West Bromwich Albion,Defender,0.1236601277,0.7153046668,0.0,0.0,0.91872,2.0038423639,624,30
25,France,102738,110,Giannelli Imbula,Stoke City,Midfielder,0.5858807967,0.9142057026,1.239,0.0,0.4176,0.3266377282,855,30
20,Egypt,205102,110,Ramadan Sobhi,Stoke City,Midfielder,0.6802240644,0.8981670061,0.2,1.039,0.696,0.4430598891,840,30
25,Spain,100059,14,Alberto Moreno,Liverpool,Defender,0.4854789001,0.6822777396,0.0,1.039,1.83744,0.3686876179,367,29
-1,Unknown,39472,88,Dieudonne Mbokani Bezua,Hull City,Striker,0.7329599312,0.8211259698,0.8,1.039,0.0,0.446978509,825,29
